Grand Prix,Circuit,Date,Longitude,Latitude
Bahrain,Bahrain International Circuit,Mar 2,26.0325°N,50.5106°E
Saudi Arabian,Jeddah Corniche Circuit,Mar 9,21.6319°N,39.1044°E
Emilia Romagna,Autodromo Enzo e Dino Ferrari,May 19,44.3439°N,11.7167°E
Monaco,Circuit de Monaco,May 26,43.7347°N,7.4206°E
Spanish,Circuit de Barcelona-Catalunya,Jun 23,41.5689°N,2.2569°E
Austrian,Red Bull Ring,Jun 30,47.2197°N,14.7647°E
British,Silverstone Circuit,Jul 7,52.0786°N,1.0169°W
Hungarian,Hungaroring,Jul 21,47.5830°N,19.2506°E
Belgian,Circuit de Spa-Francorchamps,Jul 28,50.4372°N,5.9714°E
Dutch,Circuit Zandvoort,Aug 25,52.3881°N,4.5419°E
Italian,Autodromo Nazionale Monza,Sep 1,45.6156°N,9.2811°E
Azerbaijan,Baku City Circuit,Sep 15,40.3725°N,49.8533°E
Qatar,Losail International Circuit,Dec 1,25.4880°N,51.4542°E
Abu Dhabi,Yas Marina Circuit,Dec 8,24.4672°N,54.6031°E